"time","zip","sex","race","age","tests","cases","date"
1,46303,"female","other","75+",1,0,2020-05-11
1,46303,"female","white","65-74",2,0,2020-05-11
1,46303,"female","white","75+",2,0,2020-05-11
1,46303,"male","white","18-34",1,0,2020-05-11
1,46303,"male","white","35-64",1,0,2020-05-11
1,46303,"male","white","65-74",1,0,2020-05-11
1,46303,"male","white","75+",1,0,2020-05-11
1,46304,"female","white","75+",1,0,2020-05-11
1,46304,"male","other","35-64",1,0,2020-05-11
1,46307,"female","black","18-34",1,0,2020-05-11
1,46307,"female","white","18-34",2,0,2020-05-11
1,46307,"female","white","35-64",4,0,2020-05-11
1,46307,"female","white","65-74",2,0,2020-05-11
1,46307,"female","white","75+",2,0,2020-05-11
1,46307,"male","black","35-64",1,0,2020-05-11
1,46307,"male","other","65-74",1,0,2020-05-11
1,46307,"male","white","35-64",2,0,2020-05-11
1,46307,"male","white","65-74",3,0,2020-05-11
1,46310,"female","white","35-64",1,0,2020-05-11
1,46310,"male","other","35-64",1,0,2020-05-11
1,46310,"male","white","35-64",1,0,2020-05-11
1,46311,"female","white","18-34",1,0,2020-05-11
1,46311,"female","white","35-64",1,0,2020-05-11
1,46311,"female","white","75+",1,0,2020-05-11
1,46311,"male","white","0-17",1,0,2020-05-11
1,46311,"male","white","35-64",1,0,2020-05-11
1,46311,"male","white","65-74",1,0,2020-05-11
1,46312,"female","black","35-64",2,0,2020-05-11
1,46312,"female","black","65-74",2,0,2020-05-11
1,46312,"female","other","18-34",1,0,2020-05-11
1,46312,"female","other","35-64",3,0,2020-05-11
1,46312,"male","black","35-64",2,0,2020-05-11
1,46312,"male","black","65-74",1,0,2020-05-11
1,46312,"male","other","35-64",2,0,2020-05-11
1,46312,"male","other","75+",2,0,2020-05-11
1,46312,"male","white","35-64",2,0,2020-05-11
1,46319,"female","white","18-34",1,0,2020-05-11
1,46319,"female","white","35-64",3,0,2020-05-11
1,46319,"female","white","65-74",2,0,2020-05-11
1,46319,"male","white","35-64",1,0,2020-05-11
1,46319,"male","white","65-74",1,0,2020-05-11
1,46320,"female","black","35-64",1,0,2020-05-11
1,46320,"male","black","18-34",1,0,2020-05-11
1,46321,"female","white","0-17",1,0,2020-05-11
1,46321,"female","white","65-74",1,0,2020-05-11
1,46321,"female","white","75+",1,0,2020-05-11
1,46321,"male","black","35-64",1,0,2020-05-11
1,46321,"male","other","35-64",1,0,2020-05-11
1,46321,"male","white","65-74",1,0,2020-05-11
1,46321,"male","white","75+",1,0,2020-05-11
1,46322,"female","white","35-64",2,0,2020-05-11
1,46322,"female","white","65-74",2,0,2020-05-11
1,46322,"female","white","75+",1,0,2020-05-11
1,46322,"male","black","18-34",1,0,2020-05-11
1,46322,"male","other","35-64",1,0,2020-05-11
1,46322,"male","other","75+",1,0,2020-05-11
1,46322,"male","white","35-64",2,0,2020-05-11
1,46322,"male","white","75+",2,0,2020-05-11
1,46323,"female","black","18-34",2,0,2020-05-11
1,46323,"female","black","35-64",1,0,2020-05-11
1,46323,"female","black","75+",1,0,2020-05-11
1,46323,"female","other","35-64",1,0,2020-05-11
1,46323,"female","other","75+",1,0,2020-05-11
1,46323,"female","white","18-34",1,0,2020-05-11
1,46323,"female","white","35-64",1,0,2020-05-11
1,46323,"female","white","65-74",2,0,2020-05-11
1,46323,"male","other","35-64",1,0,2020-05-11
1,46323,"male","other","65-74",1,0,2020-05-11
1,46323,"male","white","35-64",1,0,2020-05-11
1,46323,"male","white","65-74",1,0,2020-05-11
1,46324,"female","other","35-64",1,0,2020-05-11
1,46324,"female","other","65-74",1,0,2020-05-11
1,46324,"female","white","65-74",2,0,2020-05-11
1,46324,"female","white","75+",1,0,2020-05-11
